episode,score
1,0.7234999838285148
2,0.8359999813139438
3,1.084499975759536
4,1.436499967891723
5,1.74249996105209
6,1.9044999574311077
7,1.8719999581575393
8,2.413999946042895
9,2.5459999430924656
10,2.758999938331544
11,3.713999916985631
12,4.171499906759709
13,4.214999905787408
14,4.0909999085590245
15,6.215999861061573
16,7.224499838519842
17,9.567999786138534
18,11.699999738484621
19,14.051999685913325
20,14.97649966524914
21,18.11199959516525
22,21.243499525170773
23,23.21949948100373
24,25.29599943459034
25,28.270999368093907
26,28.79449935639277
27,34.51699922848493
28,34.64799922555685
29,38.70299913492054
30,37.321499165799466
31,38.4224991411902
32,38.97249912889674
33,39.29349912172184
34,38.288999144174156
35,37.24049916760996
36,31.27099930103868
37,30.504999318160117
38,37.179499168973415
39,33.252499256748706
40,36.85749917617068
41,36.99149917317554
42,36.22299919035286
43,38.50449913935736
44,37.6764991578646
45,36.78049917789176
46,37.03949917210266
47,37.67999915778637
48,38.158499147091064
49,37.912999152578415
50,38.10849914820865
51,33.9569992410019
52,37.18899916876107
53,36.303499188553545
54,37.80349915502593
55,35.23399921245873
56,38.32699914332479
57,37.757999156042935
58,35.1794992136769
59,35.79349919995293
60,37.71199915707111
61,38.23349914541468
62,35.959999196231365
63,32.83449926609173
64,32.4959992736578
65,35.119499215018
66,34.646499225590375
67,37.6164991592057
68,36.892499175388366
69,33.28299925606698
70,36.634499181155114
71,38.15549914715812
72,37.74799915626645
73,35.76549920057878
74,37.14649916971102
75,36.64649918088689
76,36.75749917840585
77,35.44999920763075
78,36.635499181132765
79,36.46049918504432
80,36.51349918385968
81,36.16449919166043
82,35.36749920947477
83,34.763999222964046
84,31.632499292958528
85,36.42449918584898
86,36.33349918788299
87,34.78099922258407
88,35.44799920767546
89,37.34049916537479
90,37.01499917265028
91,36.61299918163568
92,36.23449919009581
93,35.67699920255691
94,37.256999167241155
95,36.308499188441786
96,38.341999142989515
97,38.003499150555584
98,37.51999916136265
99,34.996499217767266
100,37.03149917228147
101,32.63599927052856
102,37.95499915163964
